Section,System,Location,Component,Material,Condition,Comment
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Acceptable,Gravel depth appears sufficient for vehicle traffic loads.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Acceptable,No standing water or drainage issues observed.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Acceptable,Gravel driveway is well-graded and compacted with adequate drainage slope per IRC R401.3.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Acceptable,Adequate crown for water runoff and drainage.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Acceptable,Surface provides adequate traction for vehicles in dry conditions.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Monitor,Minor surface damage or weathering; monitor for expansion.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Monitor,Small areas of gravel migration at edges; monitor and replenish as needed.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Monitor,Driveway Component showing expected wear for age; monitor condition regularly.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Monitor,Monitor for compliance with IRC R401.3 regarding drainage slope maintenance.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Monitor,Edge restraints showing early movement; monitor for stability.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Repair/Replace,Repair required to maintain structural integrity and safety.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Repair/Replace,Driveway Component beyond economical repair; replacement recommended.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Repair/Replace,Restore proper crown and drainage slope per IRC R401.3.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Safety Hazard,Contaminated aggregate requiring professional removal and replacement.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Safety Hazard,Extreme rutting preventing emergency vehicle access; urgent attention required.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Safety Hazard,Unstable surface may not support emergency vehicles; urgent repair advised.
Exterior Grounds,Driveway,Null,Driveway Component,Gravel,Access Restricted,Inspection could not verify IRC compliance due to restricted access.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Acceptable,No vegetation growth between joints; surface is well-maintained.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Acceptable,Transitions smoothly to street and garage without trip hazards.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Acceptable,Edge restraints maintain stone alignment and prevent migration.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Acceptable,Installation pattern provides structural stability under vehicle traffic.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Acceptable,Surface provides adequate drainage slope away from structure per IRC R401.3.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Monitor,Early stage deterioration observed; monitor and document changes.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Monitor,Small areas of spalling or surface deterioration; monitor freeze-thaw cycles.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Monitor,Surface staining or color variation developing; monitor for progression.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Monitor,Monitor for compliance with IRC R401.3 regarding drainage slope maintenance.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Monitor,Minor settling or unevenness in isolated stone sections; monitor for progression.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Repair/Replace,Base failure causing widespread settlement; reconstruction needed.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Repair/Replace,Damaged or cracked stones requiring individual replacement with matching material.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Repair/Replace,Significant damage necessitates professional repair or replacement.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Safety Hazard,Trip hazards must be corrected per IRC R311.7.8 for occupant safety.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Safety Hazard,Sharp or jagged stone edges presenting cut hazards to pedestrians.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Safety Hazard,Pooling water creating ice hazard in freezing conditions per IRC R311.7.8.
Exterior Grounds,Driveway,Null,Driveway Component,Natural Stone,Access Restricted,Vehicles blocking access to stone driveway sections.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Acceptable,Surface provides adequate drainage slope away from structure per IRC R401.3.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Acceptable,Joint sand is intact and pavers show no signs of shifting or spreading.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Acceptable,No significant surface wear or damage to individual pavers.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Acceptable,Installation pattern provides structural stability for vehicle traffic.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Acceptable,Paver driveway is level and stable with all units properly seated and aligned.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Monitor,Slight misalignment or settlement; monitor for worsening conditions.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Monitor,Early signs of moss or algae growth in joints; monitor and treat.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Monitor,Minor settling or unevenness at isolated pavers; monitor for spreading.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Monitor,Driveway Component showing expected wear for age; monitor condition regularly.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Monitor,Minor surface damage or weathering; monitor for expansion.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Repair/Replace,Driveway Component failure requires immediate repair to restore function.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Repair/Replace,Restore proper slope and drainage per IRC R401.3 standards.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Repair/Replace,Poor drainage causing persistent water damage; regrade required.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Safety Hazard,Raised or sunken pavers creating trip hazards; immediate leveling required.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Safety Hazard,Paver displacement blocking emergency vehicle access; urgent correction needed.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Safety Hazard,Pooling water creating ice hazard in freezing conditions per IRC R311.7.8.
Exterior Grounds,Driveway,Null,Driveway Component,Paver,Access Restricted,Property access restrictions limited paver driveway inspection.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Acceptable,Brick selection appropriate for vehicle loads and freeze-thaw conditions.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Acceptable,All bricks are properly seated with adequate joint sand or mortar.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Acceptable,Surface provides adequate drainage slope away from structure per IRC R401.3.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Acceptable,No vegetation growth between joints; surface is well-maintained.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Acceptable,Brick driveway is level and stable with consistent coursing and proper joint integrity.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Monitor,Joint sand erosion in high-traffic areas; monitor and replenish as needed.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Monitor,Monitor drainage patterns to ensure continued IRC R401.3 compliance.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Monitor,Early signs of moss or efflorescence; monitor and treat as needed.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Monitor,Monitor for compliance with IRC R404.1.6 regarding edge restraint integrity.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Monitor,Minor chips or surface wear on individual bricks; monitor for worsening.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Repair/Replace,Safety-critical defect requires urgent corrective action.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Repair/Replace,Professional evaluation recommended for extensive pattern failure or base issues.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Repair/Replace,Multiple loose or displaced bricks requiring re-setting and releveling.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Safety Hazard,Driveway must be maintained in safe condition per IRC requirements.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Safety Hazard,Severe settlement violating IRC R401.3 drainage requirements.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Safety Hazard,Unstable surface may not support emergency vehicles; urgent repair advised.
Exterior Grounds,Driveway,Null,Driveway Component,Brick,Access Restricted,Standing water obscuring brick surface condition.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Acceptable,All mounting hardware is intact and watertight; no evidence of leaks at penetrations.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Acceptable,Component meets all inspection criteria with no defects noted.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Acceptable,Material condition appropriate for age and exposure environment.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Acceptable,"Solar panels are securely mounted, free of visible damage, and all wiring is properly routed/protected."
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Acceptable,Performance specifications satisfied with proper operation.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Monitor,Minor surface damage or weathering; monitor for expansion.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Monitor,Early corrosion or loosening of mounting hardware; monitor and tighten/clean as needed.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Monitor,Early stage conditions that may progress over time.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Monitor,Preventive maintenance scheduling advised for longevity.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Monitor,Minor wear or aging signs require periodic monitoring.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Repair/Replace,Deterioration has progressed beyond acceptable service limits.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Repair/Replace,Safety-critical defect requires urgent corrective action.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Repair/Replace,Significant damage necessitates professional repair or replacement.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Safety Hazard,Loose or exposed wiring presents electrical shock hazard.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Safety Hazard,Loose or exposed wiring presents electrical shock hazard.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Safety Hazard,Loose panels or hardware present falling object risk.
Structure,Roof System,Null,Roof Covering,Solar Panel Array,Access Restricted,Component not accessible for detailed inspection due to physical barriers.
Structure,Roof System,Null,Roof Covering,Wood Shake,Acceptable,"No warping, splitting, or checking that compromises structural integrity."
Structure,Roof System,Null,Roof Covering,Wood Shake,Acceptable,"No missing, loose, or displaced shakes; all ridge/hip shakes are intact."
Structure,Roof System,Null,Roof Covering,Wood Shake,Acceptable,"No moss, algae, or debris on roof surface."
Structure,Roof System,Null,Roof Covering,Wood Shake,Acceptable,All fasteners are appropriate for wood species and properly installed.
Structure,Roof System,Null,Roof Covering,Wood Shake,Acceptable,No overhanging branches or vines touching shakes.
Structure,Roof System,Null,Roof Covering,Wood Shake,Monitor,Minor curling or splitting; monitor for progression or leaks.
Structure,Roof System,Null,Roof Covering,Wood Shake,Monitor,Branches overhanging or in contact with shakes; monitor for abrasion and trim as needed.
Structure,Roof System,Null,Roof Covering,Wood Shake,Monitor,Minor surface checking or small splits; monitor for progression and seal as needed.
Structure,Roof System,Null,Roof Covering,Wood Shake,Monitor,Slight fastener loosening from wood movement; monitor and retighten seasonally.
Structure,Roof System,Null,Roof Covering,Wood Shake,Monitor,Minor wear or aging noted; monitor for progression over time.
Structure,Roof System,Null,Roof Covering,Wood Shake,Repair/Replace,Safety-critical defect requires urgent corrective action.
Structure,Roof System,Null,Roof Covering,Wood Shake,Repair/Replace,Warping or splitting affecting function; repair or replace damaged members.
Structure,Roof System,Null,Roof Covering,Wood Shake,Repair/Replace,Tree limb impact or storm damage; repair affected area.
Structure,Roof System,Null,Roof Covering,Wood Shake,Safety Hazard,Wind-lifted shakes creating missile hazard in high winds.
Structure,Roof System,Null,Roof Covering,Wood Shake,Safety Hazard,Improper installation with inadequate fastening; shakes may dislodge suddenly.
Structure,Roof System,Null,Roof Covering,Wood Shake,Safety Hazard,Loose or decayed shakes present falling object or water intrusion risk.
Structure,Roof System,Null,Roof Covering,Wood Shake,Access Restricted,"Roof not accessible due to height, pitch, or weather."
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Acceptable,"All seams, flashings, and edges are sealed and intact."
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Acceptable,"Membrane roof is continuous, properly adhered, and free from punctures or blisters."
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Acceptable,Performance specifications satisfied with proper operation.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Acceptable,No ponding water or debris accumulation on roof surface.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Acceptable,All roof drains and scuppers are clear and functional.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Monitor,Seasonal changes may affect component performance.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Monitor,Minor surface damage or weathering; monitor for expansion.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Monitor,Preventive maintenance scheduling advised for longevity.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Monitor,"Tree debris, branches, or leaves on roof; monitor and remove to prevent punctures."
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Monitor,Roof Covering showing expected wear for age; monitor condition regularly.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Repair/Replace,"Punctures, tears, or seam failures require immediate repair."
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Repair/Replace,Deterioration has progressed beyond acceptable service limits.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Repair/Replace,Vegetation or tree roots have penetrated membrane; remove and repair.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Safety Hazard,Membrane delamination creating trip hazards; loose sections may cause falls.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Safety Hazard,Severe membrane shrinkage causing dangerous gaps and unstable walking surface.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Safety Hazard,Ice formation under membrane creating unstable and dangerous conditions.
Structure,Roof System,Null,Roof Covering,Membrane (EPDM/TPO/PVC),Access Restricted,Environmental conditions limit inspection capability and visibility.
Structure,Roof System,Null,Roof Covering,Clay Tile,Acceptable,"No moss, algae, or organic buildup present."
Structure,Roof System,Null,Roof Covering,Clay Tile,Acceptable,Structural integrity and functionality are excellent throughout.
Structure,Roof System,Null,Roof Covering,Clay Tile,Acceptable,Flashing at valleys and penetrations is continuous and sealed.
Structure,Roof System,Null,Roof Covering,Clay Tile,Acceptable,Material condition appropriate for age and exposure environment.
Structure,Roof System,Null,Roof Covering,Clay Tile,Acceptable,Performance specifications satisfied with proper operation.
Structure,Roof System,Null,Roof Covering,Clay Tile,Monitor,Minor lichen or moss growth on shaded tile; monitor and clean as needed.
Structure,Roof System,Null,Roof Covering,Clay Tile,Monitor,Minor wear or aging noted; monitor for progression over time.
Structure,Roof System,Null,Roof Covering,Clay Tile,Monitor,Preventive maintenance scheduling advised for longevity.
Structure,Roof System,Null,Roof Covering,Clay Tile,Monitor,"Debris, leaf, or branch accumulation in valleys; monitor and remove regularly."
Structure,Roof System,Null,Roof Covering,Clay Tile,Monitor,Tree limbs overhanging tiles; monitor for impact damage and trim as needed.
Structure,Roof System,Null,Roof Covering,Clay Tile,Repair/Replace,Deterioration has progressed beyond acceptable service limits.
Structure,Roof System,Null,Roof Covering,Clay Tile,Repair/Replace,Defects compromise functionality and should be addressed promptly.
Structure,Roof System,Null,Roof Covering,Clay Tile,Repair/Replace,Heavy moss or algae causing tile lift; clean and repair area.
Structure,Roof System,Null,Roof Covering,Clay Tile,Safety Hazard,Severely cracked tiles creating immediate hazard; pieces may fall without warning.
Structure,Roof System,Null,Roof Covering,Clay Tile,Safety Hazard,Wind-lifted tiles hanging precariously; immediate hazard to persons below.
Structure,Roof System,Null,Roof Covering,Clay Tile,Safety Hazard,Loose or broken tiles present falling object hazard.
Structure,Roof System,Null,Roof Covering,Clay Tile,Access Restricted,"Roof not accessible due to pitch, fragile tiles, or weather."
Structure,Roof System,Null,Roof Covering,Metal,Acceptable,Panel overlaps and joints are properly aligned and weather-tight.
Structure,Roof System,Null,Roof Covering,Metal,Acceptable,Protective coating or finish is intact and provides weather resistance.
Structure,Roof System,Null,Roof Covering,Metal,Acceptable,"Metal panels are properly fastened, free of rust, and have no visible dents or punctures."
Structure,Roof System,Null,Roof Covering,Metal,Acceptable,"No denting, warping, or impact damage affecting performance."
Structure,Roof System,Null,Roof Covering,Metal,Acceptable,Proper expansion joints accommodate thermal movement without stress.
Structure,Roof System,Null,Roof Covering,Metal,Monitor,Slight misalignment or settlement; monitor for worsening conditions.
Structure,Roof System,Null,Roof Covering,Metal,Monitor,Tree limbs or branches brushing roof; monitor for abrasion to paint/finish and trim as needed.
Structure,Roof System,Null,Roof Covering,Metal,Monitor,Roof Covering showing expected wear for age; monitor condition regularly.
Structure,Roof System,Null,Roof Covering,Metal,Monitor,Early signs of panel movement or oil canning; monitor after storms.
Structure,Roof System,Null,Roof Covering,Metal,Monitor,Minor wear or aging noted; monitor for progression over time.
Structure,Roof System,Null,Roof Covering,Metal,Repair/Replace,Complete replacement recommended due to extensive deterioration.
Structure,Roof System,Null,Roof Covering,Metal,Repair/Replace,Heavy moss or algae buildup due to shade; clean and treat affected areas.
Structure,Roof System,Null,Roof Covering,Metal,Repair/Replace,Repair required to maintain structural integrity and safety.
Structure,Roof System,Null,Roof Covering,Metal,Safety Hazard,Wind-damaged panels with sharp torn edges creating severe laceration hazard.
Structure,Roof System,Null,Roof Covering,Metal,Safety Hazard,Loose panels or sharp exposed edges present fall or laceration risk.
Structure,Roof System,Null,Roof Covering,Metal,Safety Hazard,Hail damage has created sharp penetrations and jagged metal protrusions.
Structure,Roof System,Null,Roof Covering,Metal,Access Restricted,Electrical hazards require qualified personnel for safe examination.
Structure,Roof System,Null,Soffit,Wood,Acceptable,"No surface cracking, warping, or delamination present."
Structure,Roof System,Null,Soffit,Wood,Acceptable,No gaps or open joints between boards or panels.
Structure,Roof System,Null,Soffit,Wood,Acceptable,"Wood components are structurally sound with no signs of rot, decay, or insect damage."
Structure,Roof System,Null,Soffit,Wood,Acceptable,Moisture content within acceptable range with proper ventilation and drainage.
Structure,Roof System,Null,Soffit,Wood,Acceptable,All fasteners are appropriate for wood species and properly installed.
Structure,Roof System,Null,Soffit,Wood,Monitor,Early signs of mildew or algae growth; monitor and clean as needed.
Structure,Roof System,Null,Soffit,Wood,Monitor,Loose or missing fasteners at panel edges; monitor for movement.
Structure,Roof System,Null,Soffit,Wood,Monitor,Minor swelling or discoloration at board ends; monitor for moisture.
Structure,Roof System,Null,Soffit,Wood,Monitor,Peeling paint or minor cracks in wood; monitor for weathering or insect entry.
Structure,Roof System,Null,Soffit,Wood,Monitor,Early signs of moisture staining; monitor drainage and ventilation adequacy.
Structure,Roof System,Null,Soffit,Wood,Repair/Replace,Rotten or decayed wood compromising structural integrity; replace affected sections.
Structure,Roof System,Null,Soffit,Wood,Repair/Replace,Repair required to maintain structural integrity and safety.
Structure,Roof System,Null,Soffit,Wood,Repair/Replace,"Severe paint loss or exposed raw wood; scrape, prime, and repaint or replace."
Structure,Roof System,Null,Soffit,Wood,Safety Hazard,Structural rot or decay creating collapse risk and endangering occupants.
Structure,Roof System,Null,Soffit,Wood,Safety Hazard,"Loose or rotted soffit may fall, presenting a hazard."
Structure,Roof System,Null,Soffit,Wood,Safety Hazard,Protruding nails or splinters may cause puncture wounds and lacerations.
Structure,Roof System,Null,Soffit,Wood,Access Restricted,"Obstructed by snow, debris, or stored items."
Structure,Roof System,Null,Soffit,No Soffit,Acceptable,No gaps or holes at top plate or eave line.
Structure,Roof System,Null,Soffit,No Soffit,Acceptable,Material condition appropriate for age and exposure environment.
Structure,Roof System,Null,Soffit,No Soffit,Acceptable,Installation and workmanship meet professional standards.
Structure,Roof System,Null,Soffit,No Soffit,Acceptable,"No evidence of water stains, rot, or pest entry at open eave."
Structure,Roof System,Null,Soffit,No Soffit,Acceptable,Structural integrity and functionality are excellent throughout.
Structure,Roof System,Null,Soffit,No Soffit,Monitor,Early stage conditions that may progress over time.
Structure,Roof System,Null,Soffit,No Soffit,Monitor,Slight misalignment or settlement; monitor for worsening conditions.
Structure,Roof System,Null,Soffit,No Soffit,Monitor,Small cracks or splits at rafter ends; monitor for further damage.
Structure,Roof System,Null,Soffit,No Soffit,Monitor,Early stage deterioration observed; monitor and document changes.
Structure,Roof System,Null,Soffit,No Soffit,Monitor,Minor wear or aging noted; monitor for progression over time.
Structure,Roof System,Null,Soffit,No Soffit,Repair/Replace,Cracked or broken rafter tails; repair or replace to restore support.
Structure,Roof System,Null,Soffit,No Soffit,Repair/Replace,Component requires repair or replacement for continued service.
Structure,Roof System,Null,Soffit,No Soffit,Repair/Replace,Significant damage necessitates professional repair or replacement.
Structure,Roof System,Null,Soffit,No Soffit,Safety Hazard,Structural failure potential poses danger to occupants and users.
Structure,Roof System,Null,Soffit,No Soffit,Safety Hazard,Safety hazard requires immediate professional evaluation and repair.
Structure,Roof System,Null,Soffit,No Soffit,Safety Hazard,Animal nests in open eaves may cause attic contamination.
Structure,Roof System,Null,Soffit,No Soffit,Access Restricted,Obstructed by architectural features or attached equipment.
Structure,Roof System,Null,Soffit,Vinyl,Acceptable,Installation and workmanship meet professional standards.
Structure,Roof System,Null,Soffit,Vinyl,Acceptable,All vented panels are open and unobstructed for attic airflow.
Structure,Roof System,Null,Soffit,Vinyl,Acceptable,Performance specifications satisfied with proper operation.
Structure,Roof System,Null,Soffit,Vinyl,Acceptable,"Soffit panels are intact, securely fastened, and free of cracks, holes, or sagging."
Structure,Roof System,Null,Soffit,Vinyl,Acceptable,Structural integrity and functionality are excellent throughout.
Structure,Roof System,Null,Soffit,Vinyl,Monitor,Regular inspection recommended to track condition changes.
Structure,Roof System,Null,Soffit,Vinyl,Monitor,Occasional insect or bird activity near vents; monitor for pest entry.
Structure,Roof System,Null,Soffit,Vinyl,Monitor,Small gaps at panel joints from seasonal expansion; monitor for further movement.
Structure,Roof System,Null,Soffit,Vinyl,Monitor,Preventive maintenance scheduling advised for longevity.
Structure,Roof System,Null,Soffit,Vinyl,Monitor,Minor warping or bowing in panels after temperature swings; monitor for progression.
Structure,Roof System,Null,Soffit,Vinyl,Repair/Replace,Significant damage necessitates professional repair or replacement.
Structure,Roof System,Null,Soffit,Vinyl,Repair/Replace,Repair required to maintain structural integrity and safety.
Structure,Roof System,Null,Soffit,Vinyl,Repair/Replace,Replacement recommended due to end of useful service life.
Structure,Roof System,Null,Soffit,Vinyl,Safety Hazard,Sharp edges on broken panels may cause lacerations.
Structure,Roof System,Null,Soffit,Vinyl,Safety Hazard,Open soffit exposes attic insulation to moisture and pests.
Structure,Roof System,Null,Soffit,Vinyl,Safety Hazard,Safety hazard requires immediate professional evaluation and repair.
Structure,Roof System,Null,Soffit,Vinyl,Access Restricted,Component not accessible for detailed inspection due to physical barriers.
Structure,Roof System,Null,Soffit,Aluminum,Acceptable,"Panels are clean, well-aligned, and show no signs of weathering."
Structure,Roof System,Null,Soffit,Aluminum,Acceptable,Structural integrity and functionality are excellent throughout.
Structure,Roof System,Null,Soffit,Aluminum,Acceptable,Material condition appropriate for age and exposure environment.
Structure,Roof System,Null,Soffit,Aluminum,Acceptable,No evidence of water intrusion or staining at soffit.
Structure,Roof System,Null,Soffit,Aluminum,Acceptable,"Aluminum soffit is straight, securely fastened, and free of dents or corrosion."
Structure,Roof System,Null,Soffit,Aluminum,Monitor,Small gaps at joints or seams; monitor for pest entry.
Structure,Roof System,Null,Soffit,Aluminum,Monitor,Regular inspection recommended to track condition changes.
Structure,Roof System,Null,Soffit,Aluminum,Monitor,Minor oxidation or paint loss; monitor for corrosion.
Structure,Roof System,Null,Soffit,Aluminum,Monitor,Minor wear or aging signs require periodic monitoring.
Structure,Roof System,Null,Soffit,Aluminum,Monitor,Minor wear or aging noted; monitor for progression over time.
Structure,Roof System,Null,Soffit,Aluminum,Repair/Replace,Safety-critical defect requires urgent corrective action.
Structure,Roof System,Null,Soffit,Aluminum,Repair/Replace,Defects compromise functionality and should be addressed promptly.
Structure,Roof System,Null,Soffit,Aluminum,Repair/Replace,Detached or missing soffit panels; reinstall securely.
Structure,Roof System,Null,Soffit,Aluminum,Safety Hazard,Safety hazard requires immediate professional evaluation and repair.
Structure,Roof System,Null,Soffit,Aluminum,Safety Hazard,Component failure could result in serious accident or injury.
Structure,Roof System,Null,Soffit,Aluminum,Safety Hazard,Detached soffit may become wind-borne debris.
Structure,Roof System,Null,Soffit,Aluminum,Access Restricted,Component not accessible for detailed inspection due to physical barriers.
Structure,Roof System,Null,Soffit,Open Eaves,Acceptable,No debris or vegetation buildup at exposed eaves.
Structure,Roof System,Null,Soffit,Open Eaves,Acceptable,No evidence of water stains or pest entry into attic at eaves.
Structure,Roof System,Null,Soffit,Open Eaves,Acceptable,"Rafter tails are straight, solid, and well-finished."
Structure,Roof System,Null,Soffit,Open Eaves,Acceptable,Structural integrity and functionality are excellent throughout.
Structure,Roof System,Null,Soffit,Open Eaves,Acceptable,Component meets all inspection criteria with no defects noted.
Structure,Roof System,Null,Soffit,Open Eaves,Monitor,Loose or missing sealant at joints; monitor for water intrusion.
Structure,Roof System,Null,Soffit,Open Eaves,Monitor,Soffit showing expected wear for age; monitor condition regularly.
Structure,Roof System,Null,Soffit,Open Eaves,Monitor,Minor algae or mildew on shaded rafters; monitor and clean.
Structure,Roof System,Null,Soffit,Open Eaves,Monitor,Minor wear or aging noted; monitor for progression over time.
Structure,Roof System,Null,Soffit,Open Eaves,Monitor,Small cracks or checks in rafter ends; monitor for further splitting.
Structure,Roof System,Null,Soffit,Open Eaves,Repair/Replace,Safety-critical defect requires urgent corrective action.
Structure,Roof System,Null,Soffit,Open Eaves,Repair/Replace,Defects compromise functionality and should be addressed promptly.
Structure,Roof System,Null,Soffit,Open Eaves,Repair/Replace,Complete replacement recommended due to extensive deterioration.
Structure,Roof System,Null,Soffit,Open Eaves,Safety Hazard,Safety hazard requires immediate professional evaluation and repair.
Structure,Roof System,Null,Soffit,Open Eaves,Safety Hazard,Unscreened eaves may allow insect infestation in attic insulation.
Structure,Roof System,Null,Soffit,Open Eaves,Safety Hazard,Open eaves may allow wind-blown embers into attic.
Structure,Roof System,Null,Soffit,Open Eaves,Access Restricted,No attic access to interior eave.
Structure,Foundation,Null,Foundation Wall,Steel,Acceptable,Structural integrity and functionality are excellent throughout.
Structure,Foundation,Null,Foundation Wall,Steel,Acceptable,Proper drainage and waterproofing systems are in place.
Structure,Foundation,Null,Foundation Wall,Steel,Acceptable,Component accessibility allows for routine maintenance.
Structure,Foundation,Null,Foundation Wall,Steel,Acceptable,Fasteners and connections properly secured and functional.
Structure,Foundation,Null,Foundation Wall,Steel,Acceptable,Mortar joints are tight and intact with proper pointing.
Structure,Foundation,Null,Foundation Wall,Steel,Monitor,Minor surface steel damage or weathering; monitor for expansion.
Structure,Foundation,Null,Foundation Wall,Steel,Monitor,Small gaps in mortar joints; monitor and repoint as needed.
Structure,Foundation,Null,Foundation Wall,Steel,Monitor,Periodic professional evaluation recommended for assessment.
Structure,Foundation,Null,Foundation Wall,Steel,Monitor,Slight misalignment or settlement; monitor for worsening conditions.
Structure,Foundation,Null,Foundation Wall,Steel,Monitor,Component showing expected wear for age and usage.
Structure,Foundation,Null,Foundation Wall,Steel,Repair/Replace,Structural damage compromising foundation integrity; repair or replace.
Structure,Foundation,Null,Foundation Wall,Steel,Repair/Replace,Significant steel damage necessitates professional repair or replacement.
Structure,Foundation,Null,Foundation Wall,Steel,Repair/Replace,Repair required to maintain structural integrity and safety.
Structure,Foundation,Null,Foundation Wall,Steel,Safety Hazard,Major structural cracks indicating potential foundation failure.
